DBA,BUILDING,STREET,BORO,ZIPCODE,OLD,Address,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,Latitude,Longitude
LOLITAS KITCHEN & BURGER HOUSE,1364,LEXINGTON AVENUE,Manhattan,10128,1364 LEXINGTON avenue Manhattan 10128,"1364 lexington avenue manhattan, ny 10128",Mexican,2/27/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,2/27/23,12/4/23,40.7822022,-73.953621
QUESADILLAS DONA MATY,158,EAST 116 STREET,Manhattan,10029,158 east 116 STREET Manhattan 10029,"158 east 116th street manhattan, ny 10029",Mexican,10/5/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,23,B,10/5/23,12/4/23,40.7983713,-73.941066
TAQUERIA SAN PEDRO,3662,BROADWAY,Manhattan,10031,3662 BROADWAY Manhattan 10031,"3662 broadway manhattan, ny 10031",Mexican,9/14/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,17,B,9/14/22,12/4/23,40.8304028,-73.947535
GABRIELA'S TAQUERIA,152,WEST 52 STREET,Manhattan,10019,152 WEST 52 STREET Manhattan 10019,"152 west 52nd street manhattan, ny 10019",Mexican,5/11/22,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,12,A,5/11/22,12/4/23,40.7619977,-73.981568
LA CONTENTA,102,NORFOLK STREET,Manhattan,10002,102 NORFOLK STREET Manhattan 10002,"102 norfolk street manhattan, ny 10002",Mexican,3/13/23,Violations were cited in the following area(s).,05D,"No hand washing facility in or adjacent to toilet room or within 25 feet of a food preparation, food service or ware washing area. Hand washing facility not accessible, obstructed or used for non-hand washing purposes. No hot and cold running water or water at inadequate pressure. No soap or acceptable hand-drying device.",Critical,13,A,3/13/23,12/4/23,40.7188124,-73.987125
DOS TOROS,1290,AVENUE OF THE AMERICAS,Manhattan,10119,1290 avenue OF THE AMERICAS Manhattan 10119,"1290 avenue of the americas manhattan, ny 10119",Mexican,3/25/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,3/25/22,12/4/23,40.7608501,-73.979717
CANTINA TAQUERIA & TEQUILA BAR,329,LENOX AVENUE,Manhattan,10027,329 LENOX avenue Manhattan 10027,"329 lenox avenue manhattan, ny 10027",Mexican,1/12/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,21,B,1/12/23,12/4/23,40.8087565,-73.944778
LA ESQUINA,200,WEST 55 STREET,Manhattan,10019,200 WEST 55 STREET Manhattan 10019,"200 west 55 street manhattan, , ny 10019",Mexican,9/14/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,0,A,9/14/22,12/4/23,40.7642841,-73.98117
MEXICUE,225,5 AVENUE,Manhattan,10010,225 5 avenue Manhattan 10010,"225 5th avenue manhattan, ny 10010",Mexican,12/27/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,27,B,12/27/22,12/4/23,40.74382,-73.987907
WIMPY'S RESTAURANT,2334,2 AVENUE,Manhattan,10035,2334 2 avenue Manhattan 10035,"2334 2nd avenue manhattan, ny 10035",Mexican,2/3/23,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,2/3/23,12/4/23,40.7992662,-73.936103
TAQUERIA SAN PEDRO,3662,BROADWAY,Manhattan,10031,3662 BROADWAY Manhattan 10031,"3662 broadway manhattan, ny 10031",Mexican,9/14/22,Violations were cited in the following area(s).,02B,Hot TCS food item not held at or above 140 °F.,Critical,17,B,9/14/22,12/4/23,40.8304028,-73.947535
SOL MAYA RESTAURANT,2061,2 AVENUE,Manhattan,10029,2061 2 avenue Manhattan 10029,"2061 2nd avenue manhattan, ny 10029",Mexican,3/16/22,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,3/16/22,12/4/23,40.790522,-73.942518
TORTARIA,94,UNIVERSITY PLACE,Manhattan,10003,94 UNIVERSITY PLACE Manhattan 10003,"94 university place manhattan, ny 10003",Mexican,4/18/22,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,12,A,4/18/22,12/4/23,40.7337417,-73.992957
787 COFFEE,66,PEARL STREET,Manhattan,10004,66 PEARL STREET Manhattan 10004,"66 pearl street manhattan, ny 10004",Mexican,3/7/23,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,3/7/23,12/4/23,40.7036038,-74.010932
EL TORO MEXICAN GRILL,69,NEW STREET,Manhattan,10004,69 NEW STREET Manhattan 10004,"69 new street manhattan, ny 10004",Mexican,3/24/22,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,9,A,3/24/22,12/4/23,40.7055003,-74.012396
ROSA MEXICANO,61,COLUMBUS AVENUE,Manhattan,10023,61 COLUMBUS avenue Manhattan 10023,"61 columbus avenue manhattan, ny 10023",Mexican,9/19/23,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,18,B,9/19/23,12/4/23,40.7711957,-73.983328
PATRON MEXICAN GRILL,608,9 AVENUE,Manhattan,10036,608 9 avenue Manhattan 10036,"608 9th avenue manhattan, ny 10036",Mexican,10/7/22,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,11,A,10/7/22,12/4/23,40.7593338,-73.991954
EL PASO TAQUERIA,64,EAST 97 STREET,Manhattan,10029,64 east 97 STREET Manhattan 10029,"64 east 97th street manhattan, ny 10029",Mexican,11/21/22,Violations were cited in the following area(s).,10E,"Accurate thermometer not provided or properly located in refrigerated, cold storage or hot holding equipment",Not Critical,22,B,11/21/22,12/4/23,40.7874718,-73.952682
SABOR A MEXICO TAQUERIA,160,1 AVENUE,Manhattan,10009,160 1 avenue Manhattan 10009,"160 1st avenue manhattan, ny 10009",Mexican,1/19/22,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140º F.,Critical,7,A,1/19/22,12/4/23,40.7285999,-73.984536
FUSION HK BAR-GRILL,688,10 AVENUE,Manhattan,10019,688 10 avenue Manhattan 10019,"688 10 avenue manhattan, ny 10019",Mexican,9/14/22,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,9,A,9/14/22,12/4/23,40.763558,-73.992589
MEXICO LINDO RESTAURANT,459,2 AVENUE,Manhattan,10010,459 2 avenue Manhattan 10010,"459 2nd avenue manhattan, ny 10010",Mexican,10/26/23,Violations were cited in the following area(s).,06C,"Food, supplies, or equipment not protected from potential source of contamination during storage, preparation, transportation, display, service or from customer’s refillable, reusable container. Condiments not in single-service containers or dispensed directly by the vendor.",Critical,13,A,10/26/23,12/4/23,40.7396441,-73.979615
EVA'S x CINCO DE MAYO,43,WEST 55 STREET,Manhattan,10019,43 WEST 55 STREET Manhattan 10019,"43 west 55th street manhattan, ny 10019",Mexican,5/11/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,5/11/23,12/4/23,40.7622795,-73.976363
TULCIMEXICO RESTAURANT,2798,8 AVENUE,Manhattan,10039,2798 8 avenue Manhattan 10039,"2798 8th avenue manhattan, ny  10039",Mexican,11/22/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,11/22/22,12/4/23,40.825187,-73.940179
EL CANTINERO,86,UNIVERSITY PLACE,Manhattan,10003,86 UNIVERSITY PLACE Manhattan 10003,"86 university place manhattan, ny 10003",Mexican,2/28/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,2/28/22,12/4/23,40.7335688,-73.993105
PATRON MEXICAN GRILL,608,9 AVENUE,Manhattan,10036,608 9 avenue Manhattan 10036,"608 9th avenue manhattan, ny 10036",Mexican,10/7/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,10/7/22,12/4/23,40.7593338,-73.991954
CHINELOS II DELI-GROCERY RESTAURANT,530,WEST 136 STREET,Manhattan,10031,530 WEST 136 STREET Manhattan 10031,530 west 136th street manhattan 10031,Mexican,2/8/23,Violations were cited in the following area(s).,02G,Cold TCS food item held above 41 °F; smoked or processed fish held above 38 °F; intact raw eggs held above 45 °F; or reduced oxygen packaged (ROP) TCS foods held above required temperatures except during active necessary preparation.,Critical,23,B,2/8/23,12/4/23,40.8201317,-73.953103
PLANET TACO,705,9 AVENUE,Manhattan,10019,705 9 avenue Manhattan 10019,"705 9th venue manhattan, ny 10019",Mexican,8/22/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,9,A,8/22/22,12/4/23,40.7624242,-73.989734
ANEJO TRIBECA,31,WALKER STREET,Manhattan,10013,31 WALKER STREET Manhattan 10013,"31 walker street manhattan, ny 10013",Mexican,7/7/22,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,7/7/22,12/4/23,40.7192989,-74.00404
DOS CAMINOS SOHO,475,WEST BROADWAY,Manhattan,10012,475 WEST BROADWAY Manhattan 10012,"475 west broadway manhattan, ny 10012",Mexican,3/29/23,Violations were cited in the following area(s).,04L,Evidence of mice or live mice in establishment's food or non-food areas.,Critical,13,A,3/29/23,12/4/23,40.7265726,-74.000202
AMERICAN RESTAURANT,1467,AMSTERDAM AVENUE,Manhattan,10027,1467 AMSTERDAM avenue Manhattan 10027,"1467 amsterdam avenue manhattan, ny 10027",Mexican,8/4/23,Violations were cited in the following area(s).,04K,Evidence of rats or live rats in establishment's food or non-food areas.,Critical,11,A,8/4/23,12/4/23,40.8171785,-73.953474
LA ESQUINA,1402,2 AVENUE,Manhattan,10021,1402 2 avenue Manhattan 10021,"1402 2nd avenue manhattan, ny 10021",Mexican,12/1/22,Violations were cited in the following area(s).,08A,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",Not Critical,18,B,12/1/22,12/4/23,40.7693694,-73.95793
BLUE MAIZ,606,8 AVENUE,Manhattan,10018,606 8 avenue Manhattan 10018,"606 8th avenue manhattan, ny 10018",Mexican,5/4/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,5/4/23,12/4/23,40.7555569,-73.990998
TORTARIA,94,UNIVERSITY PLACE,Manhattan,10003,94 UNIVERSITY PLACE Manhattan 10003,"94 university place manhattan, ny 10003",Mexican,4/18/22,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,12,A,4/18/22,12/4/23,40.7337417,-73.992957
AGAVE,140,7 AVENUE SOUTH,Manhattan,10014,140 7 avenue SOUTH Manhattan 10014,"140 7th avenue south manhattan, ny 10014",Mexican,3/30/23,Violations were cited in the following area(s).,06F,"Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.",Critical,22,B,3/30/23,12/4/23,40.7347272,-74.002176
LA ESQUINA,200,WEST 55 STREET,Manhattan,10019,200 WEST 55 STREET Manhattan 10019,"200 west 55 street manhattan, ny 10019",Mexican,2/16/23,Violations were cited in the following area(s).,10F,"Non-food contact surface or equipment made of unacceptable material, not kept clean, or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,2/16/23,12/4/23,40.7642841,-73.98117
CAFE HABANA,17,PRINCE STREET,Manhattan,10012,17 PRINCE STREET Manhattan 10012,"17 prince street manhattan, ny 10012",Mexican,12/19/22,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,12/19/22,12/4/23,40.7227709,-73.99426
TORO LOCO,15,STONE STREET,Manhattan,10004,15 STONE STREET Manhattan 10004,"15 stone street manhattan, ny 10004",Mexican,8/9/22,Violations were cited in the following area(s).,09B,Thawing procedure improper.,Not Critical,13,A,8/9/22,12/4/23,40.7040264,-74.012068
CANTINA TAQUERIA & TEQUILA BAR,329,LENOX AVENUE,Manhattan,10027,329 LENOX avenue Manhattan 10027,"329 lenox avenue manhattan, ny 10027",Mexican,1/12/23,Violations were cited in the following area(s).,10A,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",Not Critical,21,B,1/12/23,12/4/23,40.8087565,-73.944778
